Longitude,Latitude
-77.10212693,38.9515612
-77.12430312,38.95317526
-77.09935671,38.95429293
-77.12473206,38.95573196
-77.13152761,38.96229548
-77.09101774,38.96349208
-77.08941393,38.9636825
-77.12975695,38.96686538
-76.99138788,38.97569321
-76.99250395,38.97697888
-77.10086948,38.97772898
-77.09214177,38.98007069
-77.09788868,38.9809177
-77.09342088,38.98272036
-77.1230186,38.98437718
-77.0771618,38.98463215
-77.02353978,38.98779267
-77.09734584,38.98897026
-77.02396511,38.99025723
-77.10354487,38.99036208
-77.01656209,38.99074552
-77.09668003,38.99081446
-77.10176093,38.99226238
-77.02667333,38.99341888
-76.99940887,38.99547619
-77.02820243,38.9960615
-77.02543246,38.99685494
-77.02544423,38.99687705
-77.05333049,38.99702309
-77.02699356,38.99770109
-77.00361045,38.9982705
-77.00107423,38.9984957
-77.02624252,38.99901676
-77.03983252,38.99928922
-76.99528089,38.99965966
-77.01342309,38.99988351
-77.02574941,39.00010114
-76.99452286,39.0050766
-77.04674243,39.00598543
-76.99757354,39.00614475
-77.03959616,39.00723466
-77.11745675,39.00827077
-77.04037723,39.00860113
-76.97969969,39.01249067
-76.98417942,39.01387453
-76.99001259,39.01609091
-76.97664471,39.01917826
-76.9766814,39.0204213
-76.97018809,39.02762889
-77.10416972,39.02888246
-77.04774606,39.03010792
-77.04774606,39.03010792
-77.04915948,39.03425601
-77.04915948,39.03425601
-77.14177053,39.03517742
-77.1862184,39.03542387
-77.02783848,39.03610824
-77.04988426,39.03622162
-77.05163598,39.03738588
-77.05163598,39.03738588
-77.11012917,39.03748605
-77.04091215,39.03827959
-76.9949881,39.03843036
-77.05233935,39.03845286
-77.05233935,39.03845286
-77.05233935,39.03845286
-77.05089204,39.03870312
-76.99064597,39.03982783
-76.99064597,39.03982783
-77.13955588,39.03998599
-77.13955588,39.03998599
-77.05546538,39.04000343
-77.05034762,39.0403435
-76.98504072,39.04130416
-77.1117326,39.04475825
-77.02108646,39.04549729
-77.05948009,39.04564085
-77.04649676,39.04585987
-77.04059379,39.04726654
-77.11932335,39.04833325
-77.12077515,39.04882127
-77.05159994,39.05073791
-77.07659091,39.05275775
-77.08057295,39.05335432
-77.08370533,39.05538654
-77.04489133,39.05587135
-77.12090758,39.05588862
-77.10287162,39.05714393
-77.12629515,39.05716371
-77.13425971,39.0580898
-77.04889229,39.05856627
-77.11900378,39.05874327
-77.05197758,39.05962131
-77.1248004,39.06274695
-77.11725269,39.06275607
-77.11536091,39.06277293
-77.16091753,39.06383619
-77.12668901,39.06507967
-76.96223448,39.06821456
-77.18475195,39.06958719
-77.12301944,39.07234086
-77.16154975,39.07454093
-76.94519314,39.07941412
