Longitude,Latitude
-77.08576633,38.96085306
-77.10362329,38.96472132
-77.01026988,38.9810564
-77.12570903,38.9813279
-77.09597671,38.98580018
-77.11708129,38.98598014
-77.11473246,38.9893323
-77.01355408,38.99127846
-77.01355408,38.99127846
-77.09179202,38.99138293
-77.10176093,38.99226238
-77.0876186,38.99368328
-77.03157952,38.99393828
-76.99536948,38.9940797
-77.02446204,38.99538517
-77.02916275,38.99543874
-77.13148824,38.9956446
-77.02988848,38.99607422
-76.99211028,38.99621756
-77.02190889,38.99714787
-76.99185262,38.99727618
-77.02979931,38.99754832
-77.05129348,38.99765731
-77.03188435,38.99946235
-76.98410608,39.01253159
-76.97616002,39.0150284
-76.97968806,39.01550609
-76.97757335,39.01609287
-77.10923207,39.01635385
-77.04352552,39.01795023
-77.12895533,39.02008172
-77.15231225,39.02200115
-77.15010128,39.0226576
-77.0284055,39.02520791
-77.12563297,39.02733106
-77.10741103,39.02735567
-77.06676557,39.02931677
-77.13236816,39.02965895
-76.99354503,39.03080015
-77.04715321,39.03196474
-76.98709408,39.03285065
-76.98612615,39.03346441
-76.9888495,39.0360873
-77.05163598,39.03738588
-76.9949881,39.03843036
-77.05233935,39.03845286
-77.05233935,39.03845286
-77.05089204,39.03870312
-76.99064597,39.03982783
-76.99051653,39.03982997
-76.98794782,39.04088812
-77.07606084,39.04203605
-77.00401501,39.04213372
-76.99546457,39.04307149
-76.99799382,39.04314485
-76.98026478,39.04400264
-77.05597499,39.04400903
-77.00244605,39.0444218
-77.1146062,39.04497267
-77.06753471,39.04685305
-77.07664016,39.04929969
-77.11486701,39.05046062
-76.95317842,39.05269731
-76.95317842,39.05269731
-77.08057295,39.05335432
-77.07072335,39.0534202
-77.08620839,39.05452153
-77.07132143,39.05508435
-77.08265862,39.05617996
-77.05002379,39.05806645
-77.04889229,39.05856627
-77.04780172,39.05907475
-77.12263894,39.06026145
-77.05255138,39.06135601
-77.12752315,39.06343054
-76.96360648,39.07468437
-77.11137586,39.07587732
-77.07383523,39.07971801
-77.152808,39.08046654
-77.05887587,39.08082913
-77.05587666,39.08194575
-76.94462979,39.0820036
-76.95051808,39.0820546
-77.07764908,39.08380963
-77.15092712,39.08507731
-76.94040833,39.08547517
-77.07983174,39.08868568
-76.97878596,39.08896209
-77.10842175,39.09093075
-77.1126953,39.09130908
-77.14740594,39.09202557
-76.9871859,39.09264253
-77.15941139,39.09267578
-77.19779149,39.09299981
-77.13584812,39.09355269
-77.15470805,39.09503786
-76.93792013,39.09576335
-77.07665869,39.09611501
-77.20363185,39.09663578
-77.15836354,39.10222644
-77.01454889,39.1032429
-77.15593666,39.10344508
-76.93312849,39.10433934
-77.05531069,39.10634325
-77.0814528,39.10963362
-77.23528052,39.11178148
-77.16627622,39.11407417
-77.24873701,39.12248462
-77.25044138,39.12587212
-77.24003551,39.12654908
-77.1675827,39.12886713
-77.40235471,39.13412308
-77.19183894,39.1355129
-77.20253139,39.13885665
-77.21252244,39.14051575
-77.13770917,39.14133993
-77.22448901,39.14181183
-77.22448901,39.14181183
-77.14404861,39.14566413
-77.28363335,39.14633194
-77.20765652,39.14897037
-77.06349671,39.14991529
-77.20405895,39.15067674
-77.06222702,39.1518981
-77.18502453,39.15291259
-77.20206574,39.15803119
-77.20206574,39.15803119
-77.1985071,39.15853519
-77.1985071,39.15853519
-77.18516988,39.16182233
-77.18099958,39.16333729
-77.26022178,39.16365735
-77.20831911,39.16804926
-77.26122151,39.16950301
-77.19293203,39.17011296
-77.22252331,39.1702977
-77.22247461,39.17034025
-77.05914641,39.17215169
-77.10347445,39.17224012
-77.23812186,39.17548792
-77.10055988,39.1769612
-77.26171377,39.1779935
-77.26734863,39.17883254
-77.25049529,39.17996026
-77.19217895,39.18403045
-77.26592378,39.18592197
-77.20305792,39.18914054
-77.24924394,39.19017759
-77.23498791,39.19077851
-77.24491824,39.19841751
-77.26306203,39.22071677
-77.33777644,39.23122103
-77.27812367,39.23425618
-77.2757461,39.23603872
-77.20193467,39.28365964
-77.19772308,39.30703414
-77.20712664,39.32484861
-77.12602413,38.95712881
-77.08722142,38.96382744
-76.99417541,38.97532937
-77.09156347,38.97727143
-77.08719336,38.97977494
-77.07928241,38.98221413
-77.09597671,38.98580018
-77.09670122,38.98625629
-77.0772355,38.98792688
-77.02401665,38.99021584
-77.02664,38.99063996
-77.10493676,38.99124153
-77.02661141,38.9916456
-77.03600902,38.9924044
-77.0992203,38.9925114
-77.0992203,38.9925114
-77.0992203,38.9925114
-77.0992203,38.9925114
-77.11596271,38.99383289
-76.99113303,38.99383294
-77.02688941,38.994547
-77.02688941,38.994547
-77.02800101,38.99455215
-77.02446204,38.99538517
-76.99934884,38.99550322
-77.04222272,38.99552688
-77.02813565,38.99608121
-77.03327347,38.99668416
-76.99192218,38.9967603
-76.99185262,38.99727618
-77.11523554,38.99850964
-77.00773583,38.99940627
-76.98985716,39.00044181
-76.98985716,39.00044181
-77.11123392,39.00531418
-77.07826694,39.00575861
-76.98659083,39.00779994
-77.01860275,39.01056957
-77.10678807,39.01104178
-77.10615942,39.01434732
-77.20568061,39.01592696
-77.14664246,39.02197521
-77.14664246,39.02197521
-77.12532141,39.02489476
-76.99094684,39.02629637
-76.99094684,39.02629637
-77.09633394,39.02853023
-77.10416972,39.02888246
-76.98401659,39.03092855
-77.04981332,39.0359821
-77.04988426,39.03622162
-77.00333138,39.03701815
-77.05163598,39.03738588
-77.05163598,39.03738588
-77.09080717,39.03758708
-76.99064597,39.03982783
-77.0513237,39.04012149
-77.05037585,39.0402995
-77.16678893,39.0415155
-76.99197541,39.04554603
-77.13521111,39.04680931
-77.08066139,39.0524471
-76.95317842,39.05269731
-76.97573042,39.05283423
-76.97087369,39.05575519
-77.01642154,39.05714632
-77.05002379,39.05806645
-76.946406,39.05904108
-77.06338243,39.0607824
-77.04410711,39.06111533
-77.09153458,39.06209116
-77.12898006,39.0622063
-77.13038439,39.06390838
-77.07454961,39.06577237
-77.06732224,39.06669786
-77.06566565,39.06766178
-77.1049017,39.06923353
-77.12566975,39.07233997
-77.08090003,39.07766701
-77.13630812,39.07859969
-76.96072126,39.07979021
-76.94235603,39.08327275
-77.1469739,39.08354868
-77.15295707,39.08418375
-77.15294087,39.08504556
-77.16760867,39.08562501
-77.16760867,39.08562501
-77.22157455,39.08577258
-77.18305102,39.08810984
-77.32526753,39.088452
-77.15217253,39.09000611
-77.10019632,39.09091971
-77.10174617,39.09181926
-77.0492773,39.09228383
-77.17438395,39.09391795
-77.19395608,39.09425263
-76.93792013,39.09576335
-77.0282403,39.09638837
-77.13650599,39.09770056
-77.19239303,39.09939421
-77.19239303,39.09939421
-77.21207599,39.10107958
-77.00354038,39.10336213
-77.14811,39.10793814
-77.19711721,39.11419382
-77.20232648,39.1164052
-76.96644614,39.11649556
-77.21655551,39.11772005
-77.20217098,39.13196182
-77.08676563,39.13385456
-77.2862402,39.13537372
-77.18878015,39.14328947
